start_date,end_year,duration_emergency,location_name,country,post_emergency,persons_per_handpump,persons_per_tap,liters_per_person_per_day,non_chlorinated_0_cfu,chlorinated_safe_water_quality,households_with_toilet,persons_per_toilet,persons_per_shower,persons_per_hygiene_promoter,refugee_pop,liters_per_person_household,potable_water_storage_10l,protected_water_sources,menstrual_hygiene_satisfaction,household_toilet,defecate_in_toilet,access_to_soap,solid_waste_disposal_access
2024-07-29,2024,34,Mugombwa,Rwanda,Post-emergency,NA,76,23,NA,100,0,26,37,NA,11932,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-29,2024,34,Nyabiheke,Rwanda,Post-emergency,NA,76,17,NA,97,0,16,40,322,11950,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Lovua settlement,Angola,Post-emergency,NA,57,16,NA,NA,62,7,17,1047,6283,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Bambasi,Ethiopia,Post-emergency,NA,141,19,NA,100,41,12,17,1172,21096,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Sherkole,Ethiopia,Post-emergency,7826,168,13,NA,100,33,12,11,1242,16154,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Tsore Camp (Assosa),Ethiopia,Post-emergency,NA,199,11,NA,100,31,14,14,2421,43580,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Arbat,Iraq,Post-emergency,NA,NA,54,100,100,100,5,5,NA,9138,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Basirma,Iraq,Post-emergency,NA,19,17,100,100,100,5,5,NA,9294,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Kawergosk,Iraq,Post-emergency,NA,6,122,100,100,100,6,5,974,7795,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Qushtapa,Iraq,Post-emergency,NA,7,101,100,100,100,6,6,95,8392,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Dagahaley,Kenya,Post-emergency,NA,133,18,NA,98,53,9,NA,9310,111725,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Hagadera,Kenya,Post-emergency,NA,176,14,NA,99,60,9,NA,12196,146356,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Ifo,Kenya,Post-emergency,NA,89,16,NA,96,57,9,NA,8538,102459,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Ifo 2,Kenya,Post-emergency,NA,91,18,NA,NA,10,22,NA,3683,22099,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Dzaleka,Malawi,Post-emergency,762,86,14,NA,91,84,4,6,942,49948,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Abala,Niger,Post-emergency,NA,134,13,NA,NA,15,22,66,1571,11000,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Ayerou,Niger,Post-emergency,NA,250,8,NA,NA,0,120,111,1285,9000,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Centre humanitaire Agadez,Niger,Emergency,NA,NA,20,NA,NA,0,50,101,NA,2837,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Chadakori,Niger,Post-emergency,NA,252,6,NA,NA,8,29,58,330,5282,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Dandaji Makao,Niger,Post-emergency,NA,418,9,NA,NA,8,27,48,261,4180,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Garin Kaka,Niger,Post-emergency,NA,210,12,NA,NA,13,20,54,183,2937,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Ouallam,Niger,Post-emergency,NA,98,16,NA,NA,27,15,101,NA,6467,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Sayam Forage,Niger,Post-emergency,NA,294,10,NA,100,14,24,149,3463,31174,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Kigeme,Rwanda,Post-emergency,NA,81,17,NA,100,0,34,42,817,14715,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Kiziba,Rwanda,Post-emergency,NA,43,41,NA,100,0,21,58,319,14681,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Mahama,Rwanda,Post-emergency,NA,83,20,100,100,0,19,19,618,63722,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Mugombwa,Rwanda,Post-emergency,NA,75,23,NA,100,0,26,37,NA,11915,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Nyabiheke,Rwanda,Post-emergency,NA,75,17,NA,100,0,16,40,322,11922,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Al Jameya,Sudan,Post-emergency,NA,257,12,NA,68,18,24,NA,1805,28882,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Al Kashafa,Sudan,Post-emergency,NA,198,8,NA,73,20,23,NA,1272,20357,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Al Redis 1,Sudan,Post-emergency,NA,216,13,NA,69,21,19,NA,954,15266,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Al Redis 2,Sudan,Post-emergency,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Alagaya,Sudan,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Babikir,Sudan,Post-emergency,NA,54,18,NA,NA,28,8,8,1354,2709,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Dabat Bosin,Sudan,Post-emergency,NA,386,4,NA,76,5,68,NA,1800,28802,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Jouri,Sudan,Post-emergency,NA,229,9,NA,90,11,33,NA,NA,14620,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Khor Alwarel,Sudan,Post-emergency,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Tunaydba,Sudan,Post-emergency,NA,51,23,NA,16,14,7,9,515,22677,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Um Gargour,Sudan,Post-emergency,NA,180,37,NA,100,1,114,685,7541,15082,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Um Rakuba,Sudan,Post-emergency,NA,51,23,NA,93,11,9,8,606,16993,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-01,2024,27,Um Sangour,Sudan,Post-emergency,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Lovua settlement,Angola,Post-emergency,NA,56,16,NA,NA,62,7,17,1044,6268,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Bambasi,Ethiopia,Post-emergency,NA,141,17,NA,100,41,12,17,1169,21043,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Sherkole,Ethiopia,Post-emergency,7900,169,11,NA,100,33,12,11,1243,16160,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Tsore Camp (Assosa),Ethiopia,Post-emergency,NA,200,17,NA,100,31,14,14,2432,43789,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Arbat,Iraq,Post-emergency,NA,NA,58,100,100,100,5,5,NA,9138,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Basirma,Iraq,Post-emergency,NA,19,19,100,100,100,5,5,NA,9294,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Kawergosk,Iraq,Post-emergency,NA,6,127,100,100,100,6,5,974,7795,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Qushtapa,Iraq,Post-emergency,NA,7,104,100,100,100,6,6,95,8392,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Dagahaley,Kenya,Post-emergency,NA,133,18,NA,97,53,9,NA,9310,111725,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Hagadera,Kenya,Post-emergency,NA,176,14,NA,92,60,9,NA,12196,146356,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Ifo,Kenya,Post-emergency,NA,89,13,NA,99,57,9,NA,8538,102459,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Ifo 2,Kenya,Post-emergency,NA,91,19,NA,NA,10,22,NA,3683,22099,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Dzaleka,Malawi,Post-emergency,762,124,16,97,100,84,4,6,933,49473,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Abala,Niger,Post-emergency,NA,153,14,NA,NA,16,22,70,1664,11650,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Ayerou,Niger,Post-emergency,NA,250,8,NA,NA,0,120,111,1285,9000,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Centre humanitaire Agadez,Niger,Emergency,NA,NA,22,NA,NA,0,45,90,NA,2791,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Chadakori,Niger,Post-emergency,NA,252,7,NA,NA,8,29,58,330,5282,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Dandaji Makao,Niger,Post-emergency,NA,418,9,NA,NA,8,27,48,261,4180,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Garin Kaka,Niger,Post-emergency,NA,210,13,NA,NA,13,20,54,183,2937,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Ouallam,Niger,Post-emergency,NA,98,12,NA,NA,27,15,101,NA,6467,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Sayam Forage,Niger,Post-emergency,NA,294,10,NA,NA,14,23,149,3463,31174,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Kigeme,Rwanda,Post-emergency,NA,81,17,NA,100,0,34,42,816,14695,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Kiziba,Rwanda,Post-emergency,NA,42,44,NA,100,0,21,57,312,14372,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Mahama,Rwanda,Post-emergency,NA,82,20,100,100,0,19,19,617,63613,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Mugombwa,Rwanda,Post-emergency,NA,75,23,NA,100,0,26,37,NA,11895,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Nyabiheke,Rwanda,Post-emergency,NA,75,17,NA,100,0,16,40,320,11866,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Al Jameya,Sudan,Post-emergency,NA,257,12,NA,67,18,24,NA,1805,28882,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Al Kashafa,Sudan,Post-emergency,NA,198,8,NA,68,20,23,NA,NA,20357,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Al Redis 1,Sudan,Post-emergency,NA,216,14,NA,68,21,19,NA,954,15266,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Al Redis 2,Sudan,Post-emergency,NA,228,7,NA,76,7,48,NA,2503,40048,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Alagaya,Sudan,Post-emergency,NA,310,7,NA,0,3,112,NA,3864,61827,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Babikir,Sudan,Post-emergency,NA,50,24,NA,NA,28,8,8,1349,2698,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Dabat Bosin,Sudan,Post-emergency,NA,425,4,NA,69,5,71,NA,NA,28802,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Jouri,Sudan,Post-emergency,NA,229,10,NA,83,11,33,NA,NA,14620,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Khor Alwarel,Sudan,Post-emergency,NA,289,8,NA,67,0,197,NA,3447,55164,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Sirajiya,Sudan,Post-emergency,NA,NA,0,NA,NA,0,NA,NA,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Tunaydba,Sudan,Post-emergency,NA,45,31,NA,63,14,7,9,513,22610,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Um Gargour,Sudan,Post-emergency,NA,176,38,NA,100,23,16,671,1231,14778,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Um Rakuba,Sudan,Post-emergency,NA,50,23,NA,100,11,9,8,331,16902,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-03,2024,27,Um Sangour,Sudan,Post-emergency,NA,NA,5,NA,66,6,70,NA,4254,68078,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Lovua settlement,Angola,Post-emergency,NA,56,17,NA,NA,62,7,17,1037,6222,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Bambasi,Ethiopia,Post-emergency,NA,141,21,NA,100,29,17,17,1168,21025,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Sherkole,Ethiopia,Post-emergency,7820,168,9,NA,100,33,12,11,1241,16134,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Tsore Camp (Assosa),Ethiopia,Post-emergency,NA,200,11,NA,100,31,14,14,2432,43776,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Arbat,Iraq,Post-emergency,NA,NA,58,100,100,100,5,5,NA,9138,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Basirma,Iraq,Post-emergency,NA,19,19,100,100,100,5,5,NA,9294,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Kawergosk,Iraq,Post-emergency,NA,6,127,100,100,100,6,5,974,7795,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Qushtapa,Iraq,Post-emergency,NA,7,104,100,100,100,6,6,95,8392,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Dagahaley,Kenya,Post-emergency,NA,133,18,NA,99,53,9,NA,9310,111725,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Hagadera,Kenya,Post-emergency,NA,176,13,NA,92,60,9,NA,12196,146356,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Ifo,Kenya,Post-emergency,NA,89,14,NA,99,57,9,NA,8538,102459,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Ifo 2,Kenya,Post-emergency,NA,91,18,NA,NA,10,22,NA,3683,22099,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Dzaleka,Malawi,Post-emergency,762,124,16,97,100,84,4,6,927,49140,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Abala,Niger,Post-emergency,NA,153,13,NA,NA,17,21,45,1664,11650,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Ayerou,Niger,Post-emergency,NA,250,3,NA,NA,0,120,111,1285,9000,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Centre humanitaire Agadez,Niger,Emergency,NA,NA,23,NA,NA,0,46,90,NA,2725,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Chadakori,Niger,Post-emergency,NA,252,4,NA,NA,8,29,58,330,5282,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Dandaji Makao,Niger,Post-emergency,NA,418,4,NA,NA,8,27,48,261,4180,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Garin Kaka,Niger,Post-emergency,NA,210,13,NA,NA,13,20,54,183,2937,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Ouallam,Niger,Post-emergency,NA,98,14,NA,NA,28,15,101,NA,6467,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Kigeme,Rwanda,Post-emergency,NA,81,16,NA,100,0,34,42,815,14681,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Kiziba,Rwanda,Post-emergency,NA,62,34,NA,100,0,21,59,323,14893,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Mahama,Rwanda,Post-emergency,NA,82,20,100,100,0,19,19,616,63484,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Mugombwa,Rwanda,Post-emergency,NA,75,24,NA,100,0,26,37,NA,11878,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Nyabiheke,Rwanda,Post-emergency,NA,75,15,NA,100,0,16,40,321,11882,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Abuda,Sudan,Post-emergency,NA,66,55,NA,NA,60,6,NA,NA,3560,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Al Jameya,Sudan,Post-emergency,NA,257,12,NA,70,18,24,NA,1805,28882,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Al Kashafa,Sudan,Post-emergency,NA,198,9,NA,87,20,23,NA,NA,20357,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Al Redis 1,Sudan,Post-emergency,NA,216,14,NA,73,21,19,NA,954,15266,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Al Redis 2,Sudan,Post-emergency,NA,228,7,NA,73,7,48,NA,2503,40048,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Alagaya,Sudan,Post-emergency,NA,310,7,NA,78,3,112,NA,3864,61827,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Babikir,Sudan,Post-emergency,NA,66,19,NA,NA,36,10,10,1587,3174,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Dabat Bosin,Sudan,Post-emergency,NA,425,6,NA,67,4,79,NA,NA,28802,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Girba,Sudan,Post-emergency,NA,214,34,NA,NA,45,9,NA,NA,6409,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Jouri,Sudan,Post-emergency,NA,229,10,NA,86,11,33,NA,NA,14620,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Khor Alwarel,Sudan,Post-emergency,NA,289,9,NA,69,0,197,NA,3447,55164,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Kilo 26,Sudan,Post-emergency,NA,328,44,NA,NA,50,8,NA,NA,9848,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Shagarab I,Sudan,Post-emergency,NA,565,13,NA,NA,7,33,NA,NA,50812,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Tunaydba,Sudan,Post-emergency,NA,47,31,NA,56,16,8,10,539,23746,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Um Gargour,Sudan,Post-emergency,NA,228,25,NA,0,29,15,17,1232,14794,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Um Rakuba,Sudan,Post-emergency,NA,51,22,NA,61,12,9,8,339,17300,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Um Sangour,Sudan,Post-emergency,NA,NA,5,NA,67,6,70,NA,4254,68078,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Wad Sharife,Sudan,Post-emergency,NA,134,26,NA,NA,42,9,NA,NA,18488,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-29,2024,34,Nyarugusu,Tanzania,Post-emergency,NA,103,25,NA,89,74,6,NA,1532,136397,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,2024,27,Lovua settlement,Angola,Post-emergency,NA,56,16,NA,NA,57,8,17,1034,6208,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,2024,27,Bambasi,Ethiopia,Post-emergency,NA,141,23,NA,100,53,9,NA,1164,20956,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,2024,27,Sheder,Ethiopia,Post-emergency,NA,1288,19,100,0,0,NA,8,723,14463,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,2024,27,Sherkole,Ethiopia,Post-emergency,7855,168,18,NA,100,34,12,11,1249,16240,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,2024,27,Tsore Camp (Assosa),Ethiopia,Post-emergency,NA,199,18,NA,100,31,14,14,2421,43579,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,2024,27,Arbat,Iraq,Post-emergency,NA,NA,60,100,100,100,5,5,NA,9136,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,2024,27,Basirma,Iraq,Post-emergency,NA,19,20,100,100,100,5,5,NA,9294,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,2024,27,Kawergosk,Iraq,Post-emergency,NA,6,128,100,100,100,6,5,974,7795,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,2024,27,Qushtapa,Iraq,Post-emergency,NA,7,108,100,100,100,6,6,95,8392,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,2024,27,Dagahaley,Kenya,Post-emergency,NA,133,19,NA,90,53,9,NA,9310,111725,NA,NA,NA,NA,NA,NA,NA,NA
2024-04-01,2024,27,Hagadera,Kenya,Post-emergency,NA,176,15,NA,92,60,9,NA,12196,146356,NA,NA,NA,NA,NA,NA,NA,NA
